date,season,ldh_region,region_name,ed_visits,source_updated
2023-06-12,2023,1,Southeast,2,9/3/2026
2023-06-12,2023,2,Capital Region,1,9/3/2026
2023-06-12,2023,3,South Central,4,9/3/2026
2023-06-12,2023,9,Northshore,5,9/3/2026
2023-06-13,2023,1,Southeast,8,9/3/2026
2023-06-13,2023,2,Capital Region,4,9/3/2026
2023-06-13,2023,3,South Central,8,9/3/2026
2023-06-13,2023,9,Northshore,6,9/3/2026
2023-06-14,2023,1,Southeast,6,9/3/2026
2023-06-14,2023,2,Capital Region,3,9/3/2026
2023-06-14,2023,3,South Central,1,9/3/2026
2023-06-14,2023,9,Northshore,8,9/3/2026
2023-06-15,2023,1,Southeast,8,9/3/2026
2023-06-15,2023,2,Capital Region,3,9/3/2026
2023-06-15,2023,3,South Central,3,9/3/2026
2023-06-15,2023,9,Northshore,8,9/3/2026
2023-06-16,2023,1,Southeast,13,9/3/2026
2023-06-16,2023,2,Capital Region,4,9/3/2026
2023-06-16,2023,3,South Central,2,9/3/2026
2023-06-16,2023,9,Northshore,7,9/3/2026
2023-06-17,2023,1,Southeast,11,9/3/2026
2023-06-17,2023,2,Capital Region,5,9/3/2026
2023-06-17,2023,3,South Central,7,9/3/2026
2023-06-17,2023,9,Northshore,15,9/3/2026
2023-06-18,2023,1,Southeast,7,9/3/2026
2023-06-18,2023,2,Capital Region,5,9/3/2026
2023-06-18,2023,3,South Central,4,9/3/2026
2023-06-18,2023,9,Northshore,5,9/3/2026
2023-06-19,2023,1,Southeast,10,9/3/2026
2023-06-19,2023,2,Capital Region,4,9/3/2026
2023-06-19,2023,3,South Central,6,9/3/2026
2023-06-19,2023,9,Northshore,3,9/3/2026
2023-06-20,2023,1,Southeast,8,9/3/2026
2023-06-20,2023,2,Capital Region,2,9/3/2026
2023-06-20,2023,3,South Central,2,9/3/2026
2023-06-20,2023,9,Northshore,6,9/3/2026
2023-06-21,2023,1,Southeast,11,9/3/2026
2023-06-21,2023,2,Capital Region,2,9/3/2026
2023-06-21,2023,3,South Central,3,9/3/2026
2023-06-21,2023,9,Northshore,5,9/3/2026
2023-06-22,2023,1,Southeast,10,9/3/2026
2023-06-22,2023,2,Capital Region,3,9/3/2026
2023-06-22,2023,3,South Central,5,9/3/2026
2023-06-22,2023,9,Northshore,7,9/3/2026
2023-06-23,2023,1,Southeast,3,9/3/2026
2023-06-23,2023,2,Capital Region,7,9/3/2026
2023-06-23,2023,3,South Central,4,9/3/2026
2023-06-23,2023,9,Northshore,8,9/3/2026
2023-06-24,2023,1,Southeast,5,9/3/2026
2023-06-24,2023,2,Capital Region,0,9/3/2026
2023-06-24,2023,3,South Central,4,9/3/2026
2023-06-24,2023,9,Northshore,3,9/3/2026
2023-06-25,2023,1,Southeast,4,9/3/2026
2023-06-25,2023,2,Capital Region,4,9/3/2026
2023-06-25,2023,3,South Central,1,9/3/2026
2023-06-25,2023,9,Northshore,3,9/3/2026
2023-06-26,2023,1,Southeast,6,9/3/2026
2023-06-26,2023,2,Capital Region,4,9/3/2026
2023-06-26,2023,3,South Central,5,9/3/2026
2023-06-26,2023,9,Northshore,4,9/3/2026
2023-06-27,2023,1,Southeast,17,9/3/2026
2023-06-27,2023,2,Capital Region,9,9/3/2026
2023-06-27,2023,3,South Central,5,9/3/2026
2023-06-27,2023,9,Northshore,11,9/3/2026
2023-06-28,2023,1,Southeast,21,9/3/2026
2023-06-28,2023,2,Capital Region,7,9/3/2026
2023-06-28,2023,3,South Central,12,9/3/2026
2023-06-28,2023,9,Northshore,13,9/3/2026
2023-06-29,2023,1,Southeast,28,9/3/2026
2023-06-29,2023,2,Capital Region,6,9/3/2026
2023-06-29,2023,3,South Central,15,9/3/2026
2023-06-29,2023,9,Northshore,18,9/3/2026
2023-06-30,2023,1,Southeast,15,9/3/2026
2023-06-30,2023,2,Capital Region,11,9/3/2026
2023-06-30,2023,3,South Central,13,9/3/2026
2023-06-30,2023,9,Northshore,16,9/3/2026
2023-07-01,2023,1,Southeast,16,9/3/2026
2023-07-01,2023,2,Capital Region,8,9/3/2026
2023-07-01,2023,3,South Central,4,9/3/2026
2023-07-01,2023,9,Northshore,9,9/3/2026
2023-07-02,2023,1,Southeast,9,9/3/2026
2023-07-02,2023,2,Capital Region,4,9/3/2026
2023-07-02,2023,3,South Central,7,9/3/2026
2023-07-02,2023,9,Northshore,9,9/3/2026
2023-07-03,2023,1,Southeast,4,9/3/2026
2023-07-03,2023,2,Capital Region,2,9/3/2026
2023-07-03,2023,3,South Central,6,9/3/2026
2023-07-03,2023,9,Northshore,9,9/3/2026
2023-07-04,2023,1,Southeast,3,9/3/2026
2023-07-04,2023,2,Capital Region,6,9/3/2026
2023-07-04,2023,3,South Central,0,9/3/2026
2023-07-04,2023,9,Northshore,6,9/3/2026
2023-07-05,2023,1,Southeast,5,9/3/2026
2023-07-05,2023,2,Capital Region,1,9/3/2026
2023-07-05,2023,3,South Central,4,9/3/2026
2023-07-05,2023,9,Northshore,8,9/3/2026
2023-07-06,2023,1,Southeast,8,9/3/2026
2023-07-06,2023,2,Capital Region,2,9/3/2026
2023-07-06,2023,3,South Central,3,9/3/2026
2023-07-06,2023,9,Northshore,5,9/3/2026
2023-07-07,2023,1,Southeast,3,9/3/2026
2023-07-07,2023,2,Capital Region,4,9/3/2026
2023-07-07,2023,3,South Central,1,9/3/2026
2023-07-07,2023,9,Northshore,5,9/3/2026
2023-07-08,2023,1,Southeast,6,9/3/2026
2023-07-08,2023,2,Capital Region,1,9/3/2026
2023-07-08,2023,3,South Central,4,9/3/2026
