date,ldh_region,high_f,low_f,average_f,peak_heat_index_f,morning_low_f,hi_hours_105,hi_hours_108,hi_2day_mean_f,hi_3day_mean_f,consecutive_hi108_days,temperature_hours,heat_index_hours,expected_hours,weather_sources,fallback_used,source_count,population_2020
2023-03-16,1,,,,,,,,,,,,,,,,0,892057
2023-03-16,2,,,,,,,,,,,,,,,,0,696328
2023-03-16,3,,,,,,,,,,,,,,,,0,343394
2023-03-16,9,,,,,,,,,,,,,,,,0,596392
2023-03-17,1,,,,,,,,,,,,,,,,0,892057
2023-03-17,2,,,,,,,,,,,,,,,,0,696328
2023-03-17,3,,,,,,,,,,,,,,,,0,343394
2023-03-17,9,,,,,,,,,,,,,,,,0,596392
2023-03-18,1,,,,,,,,,,,,,,,,0,892057
2023-03-18,2,,,,,,,,,,,,,,,,0,696328
2023-03-18,3,,,,,,,,,,,,,,,,0,343394
2023-03-18,9,,,,,,,,,,,,,,,,0,596392
2023-03-19,1,,,,,,,,,,,,,,,,0,892057
2023-03-19,2,,,,,,,,,,,,,,,,0,696328
2023-03-19,3,,,,,,,,,,,,,,,,0,343394
2023-03-19,9,,,,,,,,,,,,,,,,0,596392
2023-03-20,1,,,,,,,,,,,,,,,,0,892057
2023-03-20,2,,,,,,,,,,,,,,,,0,696328
2023-03-20,3,,,,,,,,,,,,,,,,0,343394
2023-03-20,9,,,,,,,,,,,,,,,,0,596392
2023-03-21,1,,,,,,,,,,,,,,,,0,892057
2023-03-21,2,,,,,,,,,,,,,,,,0,696328
2023-03-21,3,,,,,,,,,,,,,,,,0,343394
2023-03-21,9,,,,,,,,,,,,,,,,0,596392
2023-03-22,1,,,,,,,,,,,,,,,,0,892057
2023-03-22,2,,,,,,,,,,,,,,,,0,696328
2023-03-22,3,,,,,,,,,,,,,,,,0,343394
2023-03-22,9,,,,,,,,,,,,,,,,0,596392
2023-03-23,1,,,,,,,,,,,,,,,,0,892057
2023-03-23,2,,,,,,,,,,,,,,,,0,696328
2023-03-23,3,,,,,,,,,,,,,,,,0,343394
2023-03-23,9,,,,,,,,,,,,,,,,0,596392
2023-03-24,1,,,,,,,,,,,,,,,,0,892057
2023-03-24,2,,,,,,,,,,,,,,,,0,696328
2023-03-24,3,,,,,,,,,,,,,,,,0,343394
2023-03-24,9,,,,,,,,,,,,,,,,0,596392
2023-03-25,1,,,,,,,,,,,,,,,,0,892057
2023-03-25,2,,,,,,,,,,,,,,,,0,696328
2023-03-25,3,,,,,,,,,,,,,,,,0,343394
2023-03-25,9,,,,,,,,,,,,,,,,0,596392
2023-03-26,1,,,,,,,,,,,,,,,,0,892057
2023-03-26,2,,,,,,,,,,,,,,,,0,696328
2023-03-26,3,,,,,,,,,,,,,,,,0,343394
2023-03-26,9,,,,,,,,,,,,,,,,0,596392
2023-03-27,1,,,,,,,,,,,,,,,,0,892057
2023-03-27,2,,,,,,,,,,,,,,,,0,696328
2023-03-27,3,,,,,,,,,,,,,,,,0,343394
2023-03-27,9,,,,,,,,,,,,,,,,0,596392
2023-03-28,1,,,,,,,,,,,,,,,,0,892057
2023-03-28,2,,,,,,,,,,,,,,,,0,696328
2023-03-28,3,,,,,,,,,,,,,,,,0,343394
2023-03-28,9,,,,,,,,,,,,,,,,0,596392
2023-03-29,1,,,,,,,,,,,,,,,,0,892057
2023-03-29,2,,,,,,,,,,,,,,,,0,696328
2023-03-29,3,,,,,,,,,,,,,,,,0,343394
2023-03-29,9,,,,,,,,,,,,,,,,0,596392
2023-03-30,1,,,,,,,,,,,,,,,,0,892057
2023-03-30,2,,,,,,,,,,,,,,,,0,696328
2023-03-30,3,,,,,,,,,,,,,,,,0,343394
2023-03-30,9,,,,,,,,,,,,,,,,0,596392
2023-03-31,1,,,,,,,,,,,,,,,,0,892057
2023-03-31,2,,,,,,,,,,,,,,,,0,696328
2023-03-31,3,,,,,,,,,,,,,,,,0,343394
2023-03-31,9,,,,,,,,,,,,,,,,0,596392
2023-04-01,1,,,,,,,,,,,,,,,,0,892057
2023-04-01,2,,,,,,,,,,,,,,,,0,696328
2023-04-01,3,,,,,,,,,,,,,,,,0,343394
2023-04-01,9,,,,,,,,,,,,,,,,0,596392
2023-04-02,1,,,,,,,,,,,,,,,,0,892057
2023-04-02,2,,,,,,,,,,,,,,,,0,696328
2023-04-02,3,,,,,,,,,,,,,,,,0,343394
2023-04-02,9,,,,,,,,,,,,,,,,0,596392
2023-04-03,1,,,,,,,,,,,,,,,,0,892057
2023-04-03,2,,,,,,,,,,,,,,,,0,696328
2023-04-03,3,,,,,,,,,,,,,,,,0,343394
2023-04-03,9,,,,,,,,,,,,,,,,0,596392
2023-04-04,1,,,,,,,,,,,,,,,,0,892057
2023-04-04,2,,,,,,,,,,,,,,,,0,696328
2023-04-04,3,,,,,,,,,,,,,,,,0,343394
2023-04-04,9,,,,,,,,,,,,,,,,0,596392
2023-04-05,1,,,,,,,,,,,,,,,,0,892057
2023-04-05,2,,,,,,,,,,,,,,,,0,696328
2023-04-05,3,,,,,,,,,,,,,,,,0,343394
2023-04-05,9,,,,,,,,,,,,,,,,0,596392
2023-04-06,1,,,,,,,,,,,,,,,,0,892057
2023-04-06,2,,,,,,,,,,,,,,,,0,696328
2023-04-06,3,,,,,,,,,,,,,,,,0,343394
2023-04-06,9,,,,,,,,,,,,,,,,0,596392
2023-04-07,1,,,,,,,,,,,,,,,,0,892057
2023-04-07,2,,,,,,,,,,,,,,,,0,696328
2023-04-07,3,,,,,,,,,,,,,,,,0,343394
2023-04-07,9,,,,,,,,,,,,,,,,0,596392
2023-04-08,1,,,,,,,,,,,,,,,,0,892057
2023-04-08,2,,,,,,,,,,,,,,,,0,696328
2023-04-08,3,,,,,,,,,,,,,,,,0,343394
2023-04-08,9,,,,,,,,,,,,,,,,0,596392
2023-04-09,1,,,,,,,,,,,,,,,,0,892057
2023-04-09,2,,,,,,,,,,,,,,,,0,696328
2023-04-09,3,,,,,,,,,,,,,,,,0,343394
2023-04-09,9,,,,,,,,,,,,,,,,0,596392
2023-04-10,1,,,,,,,,,,,,,,,,0,892057
2023-04-10,2,,,,,,,,,,,,,,,,0,696328
2023-04-10,3,,,,,,,,,,,,,,,,0,343394
2023-04-10,9,,,,,,,,,,,,,,,,0,596392
2023-04-11,1,,,,,,,,,,,,,,,,0,892057
2023-04-11,2,,,,,,,,,,,,,,,,0,696328
2023-04-11,3,,,,,,,,,,,,,,,,0,343394
2023-04-11,9,,,,,,,,,,,,,,,,0,596392
2023-04-12,1,,,,,,,,,,,,,,,,0,892057
2023-04-12,2,,,,,,,,,,,,,,,,0,696328
2023-04-12,3,,,,,,,,,,,,,,,,0,343394
2023-04-12,9,,,,,,,,,,,,,,,,0,596392
2023-04-13,1,,,,,,,,,,,,,,,,0,892057
2023-04-13,2,,,,,,,,,,,,,,,,0,696328
2023-04-13,3,,,,,,,,,,,,,,,,0,343394
2023-04-13,9,,,,,,,,,,,,,,,,0,596392
2023-04-14,1,,,,,,,,,,,,,,,,0,892057
2023-04-14,2,,,,,,,,,,,,,,,,0,696328
2023-04-14,3,,,,,,,,,,,,,,,,0,343394
2023-04-14,9,,,,,,,,,,,,,,,,0,596392
2023-04-15,1,,,,,,,,,,,,,,,,0,892057
2023-04-15,2,,,,,,,,,,,,,,,,0,696328
2023-04-15,3,,,,,,,,,,,,,,,,0,343394
2023-04-15,9,,,,,,,,,,,,,,,,0,596392
2023-04-16,1,,,,,,,,,,,,,,,,0,892057
2023-04-16,2,,,,,,,,,,,,,,,,0,696328
2023-04-16,3,,,,,,,,,,,,,,,,0,343394
2023-04-16,9,,,,,,,,,,,,,,,,0,596392
2023-04-17,1,,,,,,,,,,,,,,,,0,892057
2023-04-17,2,,,,,,,,,,,,,,,,0,696328
2023-04-17,3,,,,,,,,,,,,,,,,0,343394
2023-04-17,9,,,,,,,,,,,,,,,,0,596392
2023-04-18,1,,,,,,,,,,,,,,,,0,892057
2023-04-18,2,,,,,,,,,,,,,,,,0,696328
2023-04-18,3,,,,,,,,,,,,,,,,0,343394
2023-04-18,9,,,,,,,,,,,,,,,,0,596392
2023-04-19,1,,,,,,,,,,,,,,,,0,892057
2023-04-19,2,,,,,,,,,,,,,,,,0,696328
2023-04-19,3,,,,,,,,,,,,,,,,0,343394
2023-04-19,9,,,,,,,,,,,,,,,,0,596392
2023-04-20,1,,,,,,,,,,,,,,,,0,892057
2023-04-20,2,,,,,,,,,,,,,,,,0,696328
2023-04-20,3,,,,,,,,,,,,,,,,0,343394
2023-04-20,9,,,,,,,,,,,,,,,,0,596392
2023-04-21,1,,,,,,,,,,,,,,,,0,892057
2023-04-21,2,,,,,,,,,,,,,,,,0,696328
2023-04-21,3,,,,,,,,,,,,,,,,0,343394
2023-04-21,9,,,,,,,,,,,,,,,,0,596392
2023-04-22,1,,,,,,,,,,,,,,,,0,892057
2023-04-22,2,,,,,,,,,,,,,,,,0,696328
2023-04-22,3,,,,,,,,,,,,,,,,0,343394
2023-04-22,9,,,,,,,,,,,,,,,,0,596392
2023-04-23,1,,,,,,,,,,,,,,,,0,892057
2023-04-23,2,,,,,,,,,,,,,,,,0,696328
2023-04-23,3,,,,,,,,,,,,,,,,0,343394
2023-04-23,9,,,,,,,,,,,,,,,,0,596392
2023-04-24,1,,,,,,,,,,,,,,,,0,892057
2023-04-24,2,,,,,,,,,,,,,,,,0,696328
2023-04-24,3,,,,,,,,,,,,,,,,0,343394
2023-04-24,9,,,,,,,,,,,,,,,,0,596392
2023-04-25,1,,,,,,,,,,,,,,,,0,892057
2023-04-25,2,,,,,,,,,,,,,,,,0,696328
2023-04-25,3,,,,,,,,,,,,,,,,0,343394
2023-04-25,9,,,,,,,,,,,,,,,,0,596392
2023-04-26,1,,,,,,,,,,,,,,,,0,892057
2023-04-26,2,,,,,,,,,,,,,,,,0,696328
2023-04-26,3,,,,,,,,,,,,,,,,0,343394
2023-04-26,9,,,,,,,,,,,,,,,,0,596392
2023-04-27,1,,,,,,,,,,,,,,,,0,892057
